target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,method,K,executed,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,temperature,min_hamming_to_train,unique_fraction,ratio_1000shots,max_ratio_any_sample,sampled,filter_spearman
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,generator_T0.7,1,1,0.06371861000089915,1.043903868023405,0.5706666666666667,0.576,0.6469879518072288,0.8313253012048188,0.07181731074050152,0.19334668221545825,0.7,1.62,0.61,,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,generator_T0.7,10,10,0.057187852440750864,0.9902064106398123,0.5516666666666666,0.5583333333333333,0.6421686746987951,0.8313253012048193,0.06305294301980717,0.1933466822154582,0.7,1.62,0.61,,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,generator_T0.7,100,100,0.053362640789489164,0.9567469988583471,0.4666666666666667,0.5333333333333333,0.5903614457831325,0.8313253012048193,0.030544761181336966,0.19334668221545823,0.7,1.62,0.61,0.594578313253012,0.7469879518072289,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,nearest_train,1,0,0.04195732029013841,0.8483641801261438,0.7666666666666667,0.7666666666666667,0.6385542168674698,0.8313253012048193,0.051861342042684555,0.19334668221545823,,,,,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,nearest_train,10,0,0.04195732029013841,0.8483641801261438,0.7666666666666667,0.7666666666666667,0.6385542168674698,0.8313253012048193,0.051861342042684555,0.19334668221545823,,,,,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,nearest_train,100,0,0.04195732029013841,0.8483641801261438,0.7666666666666667,0.7666666666666667,0.6385542168674698,0.8313253012048193,0.051861342042684555,0.19334668221545823,,,,,,,
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,search_ceiling,0,20000,0.020571728070571026,0.5940374692818772,0.85,0.85,0.6746987951807228,0.8313253012048193,0.13117358190636524,0.19334668221545823,,,,0.6746987951807228,,,
T8_s7_final,8,7,final,True,4323,73.0,-44.73677744261605,1500,4,random,1,1,0.09420347913930893,1.2229178229730129,0.495,0.5509999999999999,0.5108433734939759,0.8795180722891568,0.020923987724358533,0.23980426976870814,,,,,,,
T8_s7_final,8,7,final,True,4323,73.0,-44.73677744261605,1500,4,random,10,10,0.0679027929576151,1.0479051862380013,0.5483333333333333,0.5683333333333335,0.5265060240963856,0.8795180722891566,0.011565492143417158,0.2398042697687081,,,,,,,
T8_s7_final,8,7,final,True,4323,73.0,-44.73677744261605,1500,4,random,100,100,0.05930735685422317,0.9797275816100257,0.6666666666666666,0.6666666666666666,0.5903614457831325,0.8795180722891566,0.01525522506079641,0.2398042697687081,,,,,,,
