instance_id,grid,config,m,B,L,gqe_seed,optimum,gqe_cost,sa_cost,tabu_cost,greedy1_cost,greedy20_cost,blind_cost,gqe_exact,sa_exact,tabu_exact,greedy1_exact,greedy20_exact,blind_exact,gqe_gap,blind_gap,n_gates
IEEE-30_v30_core_b5l9_008,IEEE-30,v30_core_b5l9,45,5,9,101,-9.274977316582069,-9.274977316582069,-9.274977316582069,-9.274977316582069,-9.274977316582069,-9.274977316582069,-9.274977316582069,True,True,True,True,True,True,0.0,0.0,19
IEEE-30_v30_core_b5l9_008,IEEE-30,v30_core_b5l9,45,5,9,102,-9.274977316582069,-9.274977316582069,-9.274977316582069,-9.274977316582069,-9.274977316582069,-9.274977316582069,-9.274977316582069,True,True,True,True,True,True,0.0,0.0,19
IEEE-118_v118_core_b5l9_006,IEEE-118,v118_core_b5l9,45,5,9,101,-16.774253425002254,-16.31101903417234,-16.774253425002495,-16.774253425002495,-14.440616938459364,-14.542796105747978,-16.774253425002495,False,True,True,False,False,True,0.46323439082991413,-2.4158453015843406e-13,19
IEEE-118_v118_core_b5l9_006,IEEE-118,v118_core_b5l9,45,5,9,102,-16.774253425002254,-16.31101903417234,-16.774253425002495,-16.774253425002495,-14.440616938459364,-14.542796105747978,-16.774253425002495,False,True,True,False,False,True,0.46323439082991413,-2.4158453015843406e-13,19
IEEE-57_v57_core_b4l10_005,IEEE-57,v57_core_b4l10,40,4,10,101,-24.873213938801893,-23.350036956706468,-24.87321393880189,-23.889453539845814,-14.173334220586284,-20.996100486929294,-24.87321393880189,False,True,False,False,False,True,1.5231769820954248,3.552713678800501e-15,19
IEEE-57_v57_core_b4l10_005,IEEE-57,v57_core_b4l10,40,4,10,102,-24.873213938801893,-20.996100486929294,-24.87321393880189,-23.889453539845814,-14.173334220586284,-20.996100486929294,-24.87321393880189,False,True,False,False,False,True,3.8771134518725994,3.552713678800501e-15,19
IEEE-118_v118_core_b5l9_005,IEEE-118,v118_core_b5l9,45,5,9,101,-21.80149345208792,-20.371570588697452,-21.80149345208799,-21.17912728831032,-16.060815977283607,-20.371570588697452,-21.80149345208799,False,True,False,False,False,True,1.4299228633904697,-6.750155989720952e-14,19
IEEE-118_v118_core_b5l9_005,IEEE-118,v118_core_b5l9,45,5,9,102,-21.80149345208792,-20.371570588697452,-21.80149345208799,-21.17912728831032,-16.060815977283607,-20.371570588697452,-21.80149345208799,False,True,False,False,False,True,1.4299228633904697,-6.750155989720952e-14,19
IEEE-30_v30_core_b5l9_001,IEEE-30,v30_core_b5l9,45,5,9,101,-11.222413584011,-8.217214362468054,-10.842681431157473,-11.210504842053986,12.352737964975468,-6.524756350976132,-8.21721436246806,False,False,False,False,False,False,3.005199221542947,3.0051992215429415,19
IEEE-30_v30_core_b5l9_001,IEEE-30,v30_core_b5l9,45,5,9,102,-11.222413584011,-8.499960377029714,-10.842681431157473,-11.210504842053986,12.352737964975468,-6.524756350976132,-8.21721436246806,False,False,False,False,False,False,2.722453206981287,3.0051992215429415,19
