target,family,method,run,evaluations,ratio
reg3_m60_s6,reg3,cold,0,13660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,13960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14710,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14760,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14810,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14860,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14910,0.9135802469135802
reg3_m60_s6,reg3,cold,0,14960,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15010,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15060,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15110,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15160,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15210,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15260,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15310,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15360,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15410,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15460,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15510,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15560,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15610,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15660,0.9135802469135802
reg3_m60_s6,reg3,cold,0,15710,0.9259259259259259
reg3_m60_s6,reg3,cold,0,15760,0.9259259259259259
reg3_m60_s6,reg3,cold,0,15810,0.9259259259259259
reg3_m60_s6,reg3,cold,0,15860,0.9259259259259259
reg3_m60_s6,reg3,cold,0,15910,0.9259259259259259
